名称,簡単な説明
浅草寺,"雷門や仲見世通りが有名な都内最古の寺院"
東京スカイツリー,"高さ634mの展望タワー（東京ソラマチ併設）"
上野恩賜公園,"博物館や美術館が集まる文化的エリア"
国立西洋美術館,"世界遺産に登録された建築物"
浅草花やしき,"日本最古の遊園地"
皇居外苑,"二重橋や楠木正成像が佇む広大な緑地"
東京駅赤レンガ駅舎,"レトロモダンな建築"
日比谷公園,"日本初の洋風公園（大噴水や季節の花壇）"
お台場海浜公園,"自由の女神像と夜景スポット"
豊洲市場,"寿司や海産物のグルメ拠点"
チームラボプラネッツ,"没入型デジタルアート施設"
明治神宮,"都心のパワースポット（初詣参拝者数日本一）"
渋谷スクランブル交差点,"世界最大級の交差点"
表参道ヒルズ,"高級ブランド店が並ぶ複合施設"
東京タワー,"333mの赤い鉄塔（夜景スポット）"
六本木ヒルズ,"森美術館や東京シティビュー展望台"
国立新美術館,"黒川紀章設計のアート施設"
柴又帝釈天,"映画『男はつらいよ』の舞台"
江戸東京たてもの園,"歴史的建造物を移築展示"
神田明神,"アニメ聖地としても人気の神社"
新宿御苑,"都会のオアシス（桜の名所）"
小石川後楽園,"回遊式庭園（国の特別史跡）"
等々力渓谷,"都心の渓谷散歩路"
東京ディズニーリゾート,"夢と魔法の王国（千葉県ですが定番）"
サンシャイン水族館,"空中に浮かぶ水槽が特徴"
歌舞伎座,"伝統芸能の殿堂"
秋葉原電気街,"オタク文化のメッカ"
巣鴨地蔵通り商店街,"「おばあちゃんの原宿」"
高尾山,"ミシュラン三つ星のハイキングスポット"
三鷹の森ジブリ美術館,"スタジオジブリの世界観を体験（要予約）"
